New data
34458 34600 33373 33411 14607 33411 33473 31910 32254 15722 32254 32827 31458 31518 13175 31520 32312 31100 31643 16200 31643 32450 31373 31796 13170
33411 33473 31910 32254 15722 32254 32827 31458 31518 13175 31520 32312 31100 31643 16200 31643 32450 31373 31796 13170 31798 31972 30837 31750 17666
32254 32827 31458 31518 13175 31520 32312 31100 31643 16200 31643 32450 31373 31796 13170 31798 31972 30837 31750 17666 31750 32403 31300 32208 14712
31520 32312 31100 31643 16200 31643 32450 31373 31796 13170 31798 31972 30837 31750 17666 31750 32403 31300 32208 14712 32208 32921 31855 32467 10046
31643 32450 31373 31796 13170 31798 31972 30837 31750 17666 31750 32403 31300 32208 14712 32208 32921 31855 32467 10046 32464 32557 31568 31800 10374
31798 31972 30837 31750 17666 31750 32403 31300 32208 14712 32208 32921 31855 32467 10046 32464 32557 31568 31800 10374 31801 32030 31350 31743 8094
31750 32403 31300 32208 14712 32208 32921 31855 32467 10046 32464 32557 31568 31800 10374 31801 32030 31350 31743 8094 31743 31749 30578 30639 16124
32208 32921 31855 32467 10046 32464 32557 31568 31800 10374 31801 32030 31350 31743 8094 31743 31749 30578 30639 16124 30635 31057 29241 30322 26358
32464 32557 31568 31800 10374 31801 32030 31350 31743 8094 31743 31749 30578 30639 16124 30635 31057 29241 30322 26358 30322 30948 29500 30740 19597
31801 32030 31350 31743 8094 31743 31749 30578 30639 16124 30635 31057 29241 30322 26358 30322 30948 29500 30740 19597 30731 31649 30084 30366 15362
31743 31749 30578 30639 16124 30635 31057 29241 30322 26358 30322 30948 29500 30740 19597 30731 31649 30084 30366 15362 30362 31526 29842 31404 14152
30635 31057 29241 30322 26358 30322 30948 29500 30740 19597 30731 31649 30084 30366 15362 30362 31526 29842 31404 14152 31406 31876 31045 31170 12487
30322 30948 29500 30740 19597 30731 31649 30084 30366 15362 30362 31526 29842 31404 14152 31406 31876 31045 31170 12487 31170 31600 30812 31437 11864
30731 31649 30084 30366 15362 30362 31526 29842 31404 14152 31406 31876 31045 31170 12487 31170 31600 30812 31437 11864 31437 32203 31161 31926 18406
30362 31526 29842 31404 14152 31406 31876 31045 31170 12487 31170 31600 30812 31437 11864 31437 32203 31161 31926 18406 31926 32747 31650 32564 16889
31406 31876 31045 31170 12487 31170 31600 30812 31437 11864 31437 32203 31161 31926 18406 31926 32747 31650 32564 16889 32564 33783 32392 33364 18820
31170 31600 30812 31437 11864 31437 32203 31161 31926 18406 31926 32747 31650 32564 16889 32564 33783 32392 33364 18820 33368 34310 33330 33733 26746
31437 32203 31161 31926 18406 31926 32747 31650 32564 16889 32564 33783 32392 33364 18820 33368 34310 33330 33733 26746 33728 33934 31915 32266 28364
31926 32747 31650 32564 16889 32564 33783 32392 33364 18820 33368 34310 33330 33733 26746 33728 33934 31915 32266 28364 32266 37990 32006 37025 74717
32564 33783 32392 33364 18820 33368 34310 33330 33733 26746 33728 33934 31915 32266 28364 32266 37990 32006 37025 74717 37023 38531 36456 37129 39582
33368 34310 33330 33733 26746 33728 33934 31915 32266 28364 32266 37990 32006 37025 74717 37023 38531 36456 37129 39582 37129 37569 33500 34318 41001
