Kline open time,Open price,High price,Low price,Close price,Volume,Number of trades,Taker buy base asset volume
2020-07-16 12:00:00 AM,9197.75,9223.00,9044.02,9132.00,148089.450,402299,67858.966
2020-07-17 12:00:00 AM,9132.00,9187.00,9087.00,9151.69,80940.584,244169,39063.858
2020-07-18 12:00:00 AM,9151.70,9210.00,9121.98,9171.80,63233.596,206354,32794.840
2020-07-19 12:00:00 AM,9171.79,9239.59,9108.00,9210.51,75554.579,243001,38551.338
2020-07-20 12:00:00 AM,9210.68,9221.00,9131.01,9161.13,72429.691,245657,32696.934
2020-07-21 12:00:00 AM,9161.28,9439.60,9152.62,9388.01,179211.347,515483,93179.366
2020-07-22 12:00:00 AM,9388.00,9543.00,9272.00,9518.25,126598.902,417994,65342.030
2020-07-23 12:00:00 AM,9518.25,9678.32,9439.86,9604.41,166990.147,566970,81460.964
2020-07-24 12:00:00 AM,9604.41,9650.00,9470.00,9539.70,133975.068,531836,63967.088
2020-07-25 12:00:00 AM,9539.70,9735.10,9526.31,9701.49,133377.589,517523,66055.303
2020-07-26 12:00:00 AM,9701.54,10300.00,9655.20,9939.69,261998.786,811567,132891.296
2020-07-27 12:00:00 AM,9939.68,11488.00,9928.61,11047.58,744752.400,2085818,380222.453
2020-07-28 12:00:00 AM,11047.58,11270.00,10580.00,10919.94,499486.679,1527878,243655.645
2020-07-29 12:00:00 AM,10919.94,11364.80,10844.34,11113.03,356188.761,1016186,176819.810
2020-07-30 12:00:00 AM,11113.01,11195.52,10826.55,11111.96,230327.988,705335,111066.508
2020-07-31 12:00:00 AM,11111.97,11450.42,10971.78,11343.68,307399.731,843301,155727.416
2020-08-01 12:00:00 AM,11343.67,11887.45,11201.00,11811.42,386322.642,1058421,187510.850
2020-08-02 12:00:00 AM,11811.43,12154.25,10490.00,11079.72,492803.351,1353476,232883.459
2020-08-03 12:00:00 AM,11080.70,11483.00,10923.00,11227.07,238654.591,698614,113586.768
2020-08-04 12:00:00 AM,11227.07,11427.38,11025.00,11200.05,200044.934,628935,91250.173
2020-08-05 12:00:00 AM,11200.06,11798.56,11103.00,11752.50,263510.011,770746,127718.099
2020-08-06 12:00:00 AM,11752.50,11916.02,11571.78,11770.56,236459.595,701917,110128.066
2020-08-07 12:00:00 AM,11769.97,11920.00,11318.93,11596.06,273935.127,861575,126930.385
2020-08-08 12:00:00 AM,11596.26,11819.00,11513.69,11765.72,154707.303,578295,73299.635
2020-08-09 12:00:00 AM,11765.72,11811.00,11526.90,11685.99,125463.463,506961,58963.655
2020-08-10 12:00:00 AM,11685.99,12100.00,11384.90,11896.89,290418.014,911232,138899.093
