Kline open time,Open price,High price,Low price,Close price,Volume,Kline close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1582876800000,8736.33,8787.00,8550.00,8593.54,43974.208,1582891199999,379994761.53710,103764,20635.722,178356332.93433,0
1582891200000,8593.43,8730.00,8450.00,8720.00,61733.864,1582905599999,530612707.81840,153466,30647.976,263627416.31501,0
1582905600000,8720.01,8741.93,8500.00,8586.19,27936.447,1582919999999,240414984.89390,71306,13879.278,119455521.88850,0
1582920000000,8586.17,8809.05,8576.13,8699.57,25979.658,1582934399999,226170345.81595,64492,14157.866,123274271.42062,0
1582934400000,8699.86,8777.77,8670.00,8727.75,15197.697,1582948799999,132519524.92255,32454,7708.610,67217849.45174,0
1582948800000,8725.24,8799.83,8711.00,8756.41,15338.668,1582963199999,134210636.80595,29744,7740.982,67739242.49558,0
1582963200000,8756.50,8775.00,8613.00,8708.56,19911.086,1582977599999,173118315.84887,41115,9342.549,81240932.20900,0
1582977600000,8706.83,8708.65,8580.00,8657.77,23410.208,1582991999999,202265150.99626,50936,11133.968,96207389.02510,0
1582992000000,8657.77,8685.00,8602.96,8680.00,14276.416,1583006399999,123499433.95548,30255,7061.050,61084799.53396,0
1583006400000,8679.89,8679.89,8530.00,8531.98,15390.610,1583020799999,132547861.28770,32907,6499.912,56002892.01957,0
1583020800000,8532.50,8679.00,8520.06,8627.76,24400.094,1583035199999,209988876.90407,48573,12262.010,105536318.02365,0
1583035200000,8627.64,8641.45,8525.00,8547.86,18840.962,1583049599999,161504091.16894,36229,8619.204,73884385.90310,0
1583049600000,8548.40,8659.00,8530.00,8654.99,21450.808,1583063999999,184162507.74707,46229,11363.290,97576456.86475,0
1583064000000,8654.36,8762.24,8544.70,8565.69,43304.204,1583078399999,373785486.67422,90200,21334.800,184184926.52028,0
1583078400000,8565.82,8587.72,8409.00,8548.53,44955.186,1583092799999,382291973.04218,84245,21448.524,182429622.65646,0
1583092800000,8548.53,8600.00,8475.72,8537.84,21381.662,1583107199999,182561693.57284,40850,10585.782,90390559.86161,0
1583107200000,8537.84,8661.06,8504.95,8608.87,21085.732,1583121599999,181065426.58408,42007,10978.520,94310186.12671,0
1583121600000,8608.87,8704.35,8600.32,8627.42,20955.806,1583135999999,181215984.85992,39870,10721.578,92727171.63461,0
1583136000000,8627.41,8779.88,8622.73,8760.70,29251.336,1583150399999,254943321.09675,56510,15438.797,134561256.45419,0
1583150400000,8760.70,8900.00,8722.00,8828.53,42721.820,1583164799999,376675037.36039,86429,22076.316,194683363.73766,0
1583164800000,8829.52,8925.32,8823.89,8885.64,25483.530,1583179199999,225958678.21161,58413,13088.245,116070000.07570,0
1583179200000,8885.64,8972.00,8854.54,8919.70,20796.260,1583193599999,185349480.65643,47057,10998.727,98037329.50586,0
1583193600000,8919.70,8922.34,8805.50,8870.58,19392.312,1583207999999,171646982.78894,38645,9244.932,81835379.57378,0
1583208000000,8870.98,8871.36,8752.29,8759.12,20205.610,1583222399999,177935414.23317,40635,8907.061,78451795.79421,0
1583222400000,8759.13,8871.47,8737.07,8863.22,24796.037,1583236799999,218630570.53656,49112,13775.362,121481615.43987,0
1583236800000,8863.27,8907.00,8660.00,8756.25,60115.814,1583251199999,527861268.34805,125394,28649.951,251688941.34870,0
1583251200000,8754.76,8787.40,8657.41,8717.92,24240.415,1583265599999,211176942.29451,52350,11076.363,96500607.37015,0
1583265600000,8717.92,8799.00,8690.93,8765.00,11373.417,1583279999999,99465690.67061,24879,5818.585,50890887.00248,0
1583280000000,8765.00,8842.00,8731.08,8793.01,16946.188,1583294399999,149066927.01482,33602,8407.944,73966516.87445,0
1583294400000,8792.81,8853.88,8778.69,8819.18,14116.408,1583308799999,124452138.62549,29338,6964.236,61401468.25774,0
1583308800000,8819.19,8834.61,8703.72,8723.90,21326.300,1583323199999,186796324.86636,45274,9794.278,85807820.53546,0
1583323200000,8723.90,8787.23,8669.23,8707.91,27657.878,1583337599999,241578041.60412,56818,14100.679,123195681.54667,0
1583337600000,8708.24,8753.00,8676.00,8746.15,16306.251,1583351999999,142157596.01773,32535,7935.093,69184204.23921,0
1583352000000,8746.14,8767.85,8692.89,8756.93,9109.095,1583366399999,79549011.77117,21610,4612.223,40281575.03756,0
1583366400000,8755.98,8949.34,8755.98,8878.52,36488.939,1583380799999,323775684.36910,67234,20140.188,178666459.42048,0
1583380800000,8878.53,8950.00,8870.00,8902.00,19375.256,1583395199999,172673328.28781,33501,9474.644,84448522.71444,0
1583395200000,8902.92,9130.00,8896.32,9106.49,36938.665,1583409599999,334142973.06432,70716,19080.159,172542573.37608,0
1583409600000,9105.73,9147.05,9027.00,9093.74,26993.700,1583423999999,245127370.69789,50493,13035.459,118407143.53521,0
1583424000000,9093.74,9163.56,9071.10,9161.33,20148.131,1583438399999,183499412.88566,41193,10053.982,91590778.24425,0
1583438400000,9161.33,9172.30,9039.00,9062.81,21895.932,1583452799999,199131679.64325,42467,9520.340,86597067.28220,0
1583452800000,9062.62,9088.00,8994.14,9042.36,19879.905,1583467199999,179753301.12754,39752,9742.484,88116713.51713,0
1583467200000,9042.03,9145.60,9020.00,9107.48,21196.241,1583481599999,192834076.32344,37635,10417.799,94784293.03564,0
1583481600000,9107.83,9179.75,9077.70,9138.65,21517.504,1583495999999,196471650.55480,43380,11200.668,102295743.53327,0
