date,Open price,High price,Low price,Close price,Volume,Number of trades,Taker buy base asset volume
2023-02-10 05:00:00 AM,21781.10,21837.40,21595.80,21790.70,28748.969,147913,13605.610
2023-02-10 06:00:00 AM,21790.70,21872.80,21769.50,21871.00,10141.286,78588,5629.262
2023-02-10 07:00:00 AM,21870.90,21914.00,21821.50,21901.90,12736.088,91878,6321.418
2023-02-10 08:00:00 AM,21902.00,21917.80,21854.90,21882.10,9635.426,72713,4265.078
2023-02-10 09:00:00 AM,21882.20,21897.00,21804.00,21810.10,9868.299,69236,4214.460
2023-02-10 10:00:00 AM,21810.00,21846.30,21791.00,21841.70,9013.633,68790,4911.042
2023-02-10 11:00:00 AM,21841.70,21841.70,21707.20,21726.60,19865.536,124994,8855.854
2023-02-10 12:00:00 PM,21726.70,21784.40,21675.00,21711.80,18464.665,126846,9671.253
2023-02-10 01:00:00 PM,21711.80,21820.00,21707.80,21760.20,18032.269,119530,8891.394
2023-02-10 02:00:00 PM,21760.30,21883.20,21747.90,21835.90,23598.642,142869,12679.068
2023-02-10 03:00:00 PM,21835.90,21897.00,21484.00,21649.00,60485.451,317669,27931.412
2023-02-10 04:00:00 PM,21648.90,21740.00,21566.60,21602.10,37181.746,217350,19514.455
2023-02-10 05:00:00 PM,21602.10,21689.00,21550.10,21684.00,20169.816,130394,10887.314
2023-02-10 06:00:00 PM,21684.10,21729.70,21663.20,21696.20,13946.979,87251,6953.405
2023-02-10 07:00:00 PM,21696.20,21794.40,21655.00,21764.00,15437.139,94011,8655.176
2023-02-10 08:00:00 PM,21764.00,21785.40,21706.00,21715.90,7211.955,56941,3361.337
2023-02-10 09:00:00 PM,21716.00,21719.00,21405.00,21521.40,38020.355,196357,17315.699
2023-02-10 10:00:00 PM,21521.50,21633.10,21505.30,21560.50,15344.602,101098,8153.722
2023-02-10 11:00:00 PM,21560.50,21649.60,21542.70,21618.60,9306.092,71306,4969.372
2023-02-11 12:00:00 AM,21618.60,21684.90,21594.40,21652.40,11482.976,76920,5913.164
2023-02-11 01:00:00 AM,21652.30,21694.00,21605.20,21629.80,9503.984,59290,4313.525
2023-02-11 02:00:00 AM,21629.80,21664.60,21613.50,21645.80,5544.859,43142,3111.311
2023-02-11 03:00:00 AM,21645.70,21718.80,21643.50,21668.80,8017.296,56045,4589.080
2023-02-11 04:00:00 AM,21668.80,21685.50,21655.80,21680.30,3891.071,36343,1989.040
2023-02-11 05:00:00 AM,21680.40,21700.00,21659.40,21663.30,3483.023,30692,1698.298
2023-02-11 06:00:00 AM,21663.30,21668.70,21643.50,21658.00,4062.787,32526,1615.835
2023-02-11 07:00:00 AM,21658.00,21704.90,21630.60,21681.90,6221.622,46233,3226.456
2023-02-11 08:00:00 AM,21681.90,21696.20,21670.00,21678.30,5135.841,38569,2600.993
2023-02-11 09:00:00 AM,21678.30,21693.70,21664.10,21693.60,3400.768,27736,1875.897
2023-02-11 10:00:00 AM,21693.70,21694.00,21646.60,21661.80,5047.697,39074,2139.545
2023-02-11 11:00:00 AM,21661.90,21693.00,21658.40,21689.20,3092.062,25486,1982.209
2023-02-11 12:00:00 PM,21689.20,21770.00,21651.10,21702.10,18378.803,112150,8898.537
2023-02-11 01:00:00 PM,21702.20,21756.00,21687.00,21738.20,8002.958,62200,4307.712
2023-02-11 02:00:00 PM,21738.30,21745.90,21704.00,21741.60,6245.939,47318,2963.204
2023-02-11 03:00:00 PM,21741.60,21748.00,21708.50,21727.00,4824.333,38786,2360.749
2023-02-11 04:00:00 PM,21726.90,21728.70,21669.90,21684.40,6844.110,50494,3075.772
2023-02-11 05:00:00 PM,21684.40,21691.40,21652.80,21690.50,6040.514,41270,2946.500
2023-02-11 06:00:00 PM,21690.60,21722.90,21600.00,21644.30,15146.025,86338,7437.086
2023-02-11 07:00:00 PM,21644.30,21665.00,21635.40,21652.60,6846.152,44314,3617.298
2023-02-11 08:00:00 PM,21652.60,21718.60,21635.50,21661.30,9227.098,51320,4871.831
2023-02-11 09:00:00 PM,21661.40,21850.70,21651.00,21815.60,16632.999,93651,10143.828
2023-02-11 10:00:00 PM,21815.70,21867.80,21770.50,21812.70,11223.391,80513,5878.694
2023-02-11 11:00:00 PM,21812.70,21891.90,21796.90,21851.30,10953.359,72711,5583.929
2023-02-12 12:00:00 AM,21851.20,21874.70,21792.00,21805.10,8442.245,57078,4033.104
2023-02-12 01:00:00 AM,21805.00,21834.50,21778.00,21797.40,5387.886,41864,2907.570
2023-02-12 02:00:00 AM,21797.30,21811.90,21752.90,21806.20,6325.880,46050,3265.535
2023-02-12 03:00:00 AM,21806.30,21811.40,21769.10,21772.10,3730.510,38852,1889.228
2023-02-12 04:00:00 AM,21772.10,21779.00,21754.00,21775.10,4101.376,42190,2212.763
